ID,Name
grid.473856.b,Administration for Children and Families (ACF)
grid.473794.a,Administration for Community Living (ACL)
grid.452934.d,Advanced Research Projects Agency-Energy (ARPA-E)
grid.413404.6,Agency for Healthcare Research and Quality (AHRQ)
grid.453168.d,Agency for Toxic Substances and Disease Registry (ATSDR)
grid.463419.d,Agricultural Research Service (ARS)
grid.427848.5,Air Force Institute of Technology (AFIT)
grid.419075.e,Ames Research Center (ARC)
grid.413759.d,Animal and Plant Health Inspection Service (APHIS)
grid.187073.a,Argonne National Laboratory (ANL)
grid.202665.5,Brookhaven National Laboratory (BNL)
grid.468484.2,Center for Enabling New Technologies Through Catalysis (CENTC)
grid.410422.1,Center for Information Technology (CIT)
grid.453876.b,Center for Scientific Review (CSR)
grid.457888.e,Center for Selective C–H Functionalization (NSF CCHF)
grid.416738.f,Centers for Disease Control and Prevention (CDC)
grid.413874.d,Centers for Medicare and Medicaid Services (CMS)
grid.453107.4,Climate Program Office (CPO)
funder.201191,Combat Casualty Care Research Program (CCCRP)
grid.496791.4,Congressionally Directed Medical Research Programs (CDMRP)
grid.421816.8,Defense Advanced Research Projects Agency (DARPA)
grid.453336.4,Defense Logistics Agency (DLA)
grid.452918.3,Defense Threat Reduction Agency (DTRA)
funder.57700,"Department of Defense, Small Business Innovation Research (DOD SBIR)"
grid.457768.f,Directorate for Biological Sciences (NSF BIO)
grid.457785.c,Directorate for Computer & Information Science & Engineering (NSF CISE)
grid.457799.1,Directorate for Education & Human Resources (NSF EHR)
grid.457810.f,Directorate for Engineering (NSF ENG)
grid.457836.b,Directorate for Geosciences (NSF GEO)
grid.457875.c,Directorate for Mathematical & Physical Sciences (NSF MPS)
grid.457916.8,"Directorate for Social, Behavioral & Economic Sciences (NSF SBE)"
grid.515271.5,"Directorate for Technology, Innovation and Partnerships (NSF TIP)"
grid.467627.6,Division of Acquisition and Cooperative Support (DACS)
grid.467624.5,Division of Antarctic Infrastructure and Logistics (NSF AIL)
grid.457878.1,Division of Astronomical Sciences (NSF AST)
grid.457839.4,Division of Atmospheric and Geospace Sciences (NSF AGS)
grid.457920.d,Division of Behavioral and Cognitive Sciences (NSF BCS)
grid.457770.6,Division of Biological Infrastructure (NSF DBI)
grid.457813.c,"Division of Chemical, Bioengineering, Environmental, and Transport Systems (NSF CBET)"
grid.457885.3,Division of Chemistry (NSF CHE)
grid.457814.b,"Division of Civil, Mechanical & Manufacturing Innovation (NSF CMMI)"
grid.457794.c,Division of Computer and Network Systems (NSF CNS)
grid.457793.b,Division of Computing and Communication Foundations (NSF CCF)
grid.457842.8,Division of Earth Sciences (NSF EAR)
grid.457818.7,"Division of Electrical, Communications & Cyber Systems (NSF ECCS)"
grid.467634.4,"Division of Elementary, Secondary, and Informal Education (ESIE)"
grid.457821.d,Division of Engineering Education & Centers (NSF EEC)
grid.457772.4,Division of Environmental Biology (NSF DEB)
grid.457801.f,Division of Graduate Education (NSF DGE)
grid.457762.5,Division of Grants & Agreements (NSF DGA)
grid.457805.b,Division of Human Resource Development (NSF HRD)
grid.467631.1,Division of Human Resource Management (NSF HRM)
grid.457832.f,Division of Industrial Innovation & Partnerships (NSF IIP)
grid.457797.f,Division of Information and Intelligent Systems (NSF IIS)
grid.457911.f,Division of Information Systems (NSF DIS)
grid.467630.0,Division of Institution and Award Support (DIAS)
grid.457779.f,Division of Integrative Organismal Systems (NSF IOS)
grid.457891.6,Division of Materials Research (NSF DMR)
grid.457892.5,Division of Mathematical Sciences (NSF DMS)
grid.457783.a,Division of Molecular & Cellular Biosciences (NSF MCB)
grid.457845.f,Division of Ocean Sciences (NSF OCE)
grid.457893.4,Division of Physics (NSF PHY)
grid.454854.c,Division of Program Coordination Planning and Strategic Initiatives (DPCPSI)
grid.457802.c,Division of Research on Learning in Formal and Informal Settings (NSF DRL)
grid.457922.f,Division of Social and Economic Sciences (NSF SES)
grid.457803.d,Division of Undergraduate Education (NSF DUE)
grid.482913.5,Economic Research Service (ERS)
grid.457773.5,Emerging Frontiers Office (NSF EF)
grid.417553.1,Engineer Research and Development Center (ERDC)
grid.418698.a,Environmental Protection Agency (EPA)
grid.420089.7,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)
grid.421881.6,Federal Emergency Management Agency (FEMA)
grid.483785.5,Federal Highway Administration (FHWA)
grid.417851.e,Fermilab (Fermilab)
grid.453035.4,Fogarty International Center (FIC)
grid.419077.c,Glenn Research Center (Glenn Research Center)
grid.133275.1,Goddard Space Flight Center (GSFC)
grid.454842.b,Health Resources and Services Administration (HRSA)
grid.483884.b,Hydrogen and Fuel Cells Technologies Office (HFTO)
grid.414598.5,Indian Health Service (IHS)
grid.421530.1,Institute of Education Sciences (IES)
grid.431754.0,Institute of Museum and Library Services (IMLS)
grid.211367.0,Jet Propulsion Lab (JPL)
grid.419085.1,Johnson Space Center (JSC)
grid.419743.c,Kennedy Space Center (KSC)
grid.419086.2,Langley Research Center (LaRC)
grid.184769.5,Lawrence Berkeley National Laboratory (LBL)
grid.250008.f,Lawrence Livermore National Laboratory (LLL)
grid.148313.c,Los Alamos National Laboratory (LANL)
grid.419091.4,Marshall Space Flight Center (MSFC)
grid.463240.7,Missile Defense Agency (MDA)
grid.238252.c,National Aeronautics and Space Administration (NASA)
grid.48336.3a,National Cancer Institute (NCI)
grid.429651.d,National Center for Advancing Translational Sciences (NCATS)
grid.57828.30,National Center for Atmospheric Research (NCAR)
grid.416781.d,National Center for Chronic Disease Prevention and Health Promotion (NCCDPHP)
grid.280655.c,National Center for Complementary and Integrative Health (NCCIH)
grid.467923.d,National Center for Emerging and Zoonotic Infectious Diseases (NCEZID)
grid.416778.b,National Center for Environmental Health (NCEH)
grid.416789.5,National Center for Health Statistics (NCHS)
grid.419980.d,National Center for HIV/AIDS Viral Hepatitis STD and TB Prevention (NCHSTP)
grid.419260.8,National Center for Immunization and Respiratory Diseases (NIP)
grid.453275.2,National Center for Injury Prevention and Control (NCIPC)
grid.457921.c,National Center for Science and Engineering Statistics (NSF NCSE)
grid.453445.7,National Center on Birth Defects and Developmental Disabilities (NCBDD)
grid.423033.5,National Centers for Coastal Ocean Science (NCCOS)
grid.422239.c,National Endowment for the Humanities (NEH)
grid.451363.6,National Energy Technology Laboratory (NETL)
grid.280030.9,National Eye Institute (NEI)
grid.462540.1,National Geospatial-Intelligence Agency (NIMA)
grid.279885.9,National Heart Lung and Blood Institute (NHLBI)
grid.467654.2,National Highway Traffic Safety Administration (NHTSA)
grid.280128.1,National Human Genome Research Institute (NHGRI)
grid.451056.3,National Institute for Health Research (NIHR)
grid.457946.d,National Institute for Mathematical and Biological Synthesis (NIMBioS)
grid.416809.2,National Institute for Occupational Safety and Health (NIOSH)
grid.419681.3,National Institute of Allergy and Infectious Diseases (NIAID)
grid.420086.8,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)
grid.280347.a,National Institute of Biomedical Imaging and Bioengineering (NIBIB)
grid.419633.a,National Institute of Dental and Craniofacial Research (NIDCR)
grid.419635.c,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
grid.280664.e,National Institute of Environmental Health Sciences (NIEHS)
grid.482914.2,National Institute of Food and Agriculture (NIFA)
grid.280785.0,National Institute of General Medical Sciences (NIGMS)
grid.484220.8,National Institute of Justice (NIJ)
grid.416868.5,National Institute of Mental Health (NIMH)
grid.416870.c,National Institute of Neurological Disorders and Stroke (NINDS)
grid.280738.6,National Institute of Nursing Research (NINR)
grid.94225.38,National Institute of Standards and Technology (NIST)
grid.419475.a,National Institute on Aging (NIA)
grid.420085.b,National Institute on Alcohol Abuse and Alcoholism (NIAAA)
grid.214431.1,National Institute on Deafness and Other Communication Disorders (NIDCD)
grid.473857.a,"National Institute on Disability, Independent Living, and Rehabilitation Research (NIDILRR)"
grid.420090.f,National Institute on Drug Abuse (NIDA)
grid.281076.a,National Institute on Minority Health and Health Disparities (NIMHD)
grid.94365.3d,National Institutes of Health (NIH)
grid.410305.3,National Institutes of Health Clinical Center (CLC)
