"About the data: Analytical views - Funder - Exported on Oct 18, 2022. Criteria: My groups is US YES federal funders; Publication Year is 2017 or 2018 or 2019 or 2020 or 2021; Country of Funder is United States; Publication Type is not Preprint. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.  1,326,472",,,,,
ID,Name,Country,Publications,Citations,Citations (mean)
grid.48336.3a,National Cancer Institute (NCI),United States,137496,3999025,29.08
grid.457875.c,Directorate for Mathematical & Physical Sciences (NSF MPS),United States,118881,2476894,20.84
grid.280785.0,National Institute of General Medical Sciences (NIGMS),United States,118095,3186983,26.99
grid.85084.31,United States Department of Energy (DOE),United States,113712,2732322,24.03
grid.279885.9,National Heart Lung and Blood Institute (NHLBI),United States,89767,2144465,23.89
grid.457785.c,Directorate for Computer & Information Science & Engineering (NSF CISE),United States,80068,1373932,17.16
grid.457810.f,Directorate for Engineering (NSF ENG),United States,77784,1557155,20.02
grid.429651.d,National Center for Advancing Translational Sciences (NCATS),United States,77170,1761195,22.82
grid.419681.3,National Institute of Allergy and Infectious Diseases (NIAID),United States,76801,2242077,29.19
grid.431093.c,National Science Foundation (NSF),United States,72782,1486563,20.42
grid.419635.c,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),United States,68417,1837941,26.86
grid.419475.a,National Institute on Aging (NIA),United States,56936,1438213,25.26
grid.420089.7,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),United States,56231,1148897,20.43
grid.416870.c,National Institute of Neurological Disorders and Stroke (NINDS),United States,53332,1454807,27.28
grid.416868.5,National Institute of Mental Health (NIMH),United States,52675,1302408,24.73
grid.238252.c,National Aeronautics and Space Administration (NASA),United States,51720,1098801,21.25
grid.457768.f,Directorate for Biological Sciences (NSF BIO),United States,47895,1139796,23.8
grid.452988.a,Office of Basic Energy Sciences (BES),United States,42475,1197458,28.19
