"Note: all US, not preprint, not front matter",,
Year,Mode,Count
2016,Closed,375134
2017,Closed,376308
2018,Closed,377290
2019,Closed,373259
2020,Closed,367001
2021,Closed,354325
2022,Closed,374531
2016,Green,93773
2017,Green,92695
2018,Green,92839
2019,Green,95720
2020,Green,105592
2021,Green,104061
2022,Green,77934
2016,Gold,85613
2017,Gold,100305
2018,Gold,109178
2019,Gold,130001
2020,Gold,162276
2021,Gold,179904
2022,Gold,180658
2016,Bronze,99872
2017,Bronze,106856
2018,Bronze,121542
2019,Bronze,113699
2020,Bronze,123115
2021,Bronze,105919
2022,Bronze,64186
2016,Hybrid,52917
2017,Hybrid,51556
2018,Hybrid,52340
2019,Hybrid,53584
2020,Hybrid,59713
2021,Hybrid,61622
2022,Hybrid,66640
