Category,3202 Clinical Sciences,3211 Oncology and Carcinogenesis,3204 Immunology,3207 Medical Microbiology,3209 Neurosciences,3214 Pharmacology and Pharmaceutical Sciences,3201 Cardiovascular Medicine and Haematology,3208 Medical Physiology,3215 Reproductive Medicine,3210 Nutrition and Dietetics
2016,27142,13082,7514,6265,6055,5534,5081,4125,3383,2341
2017,27621,13065,7593,6325,6001,5348,5401,3997,3430,2290
2018,28585,12675,7896,6175,6054,5534,5363,4285,3674,2411
2019,29890,13101,8028,6186,6048,5778,5373,4020,3721,2589
2020,34662,14785,9066,6505,6433,5723,6143,3514,3999,2739
2021,34417,14854,9611,6679,6378,5534,5898,3930,3958,2690
2022,31572,13377,8660,5872,6027,5170,5356,3611,3835,2681
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3202 Clinical Sciences OA breakdown,,,,,,,,,,
Category,All OA,Green,Gold,Bronze,Closed,Hybrid,,,,
2016,23329,10033,4803,6443,3813,2050,,,,
2017,23914,9499,5278,6867,3707,2270,,,,
2018,24709,9019,5958,7160,3876,2572,,,,
2019,25611,9493,6819,6487,4279,2812,,,,
2020,29818,10890,8773,6862,4844,3293,,,,
2021,29356,9871,10194,5553,5061,3738,,,,
2022,22362,5458,10234,2957,9210,3713,,,,
,,,,,,,,,,
,,,,,,,,,,
"3202 Clinical Sciences Top 20 journal, 2016-2022 sum",,,,,,,,,,
ID,Name,Publications,,,,,,,,
jour.1037553,PLOS ONE,3804,,,,,,,,
jour.1045337,Scientific Reports,2166,,,,,,,,
jour.1089721,Clinical Infectious Diseases,2163,,,,,,,,
jour.1018238,Neurology,1460,,,,,,,,
jour.1312191,Journal of Clinical Oncology,1444,,,,,,,,
jour.1050465,Open Forum Infectious Diseases,1111,,,,,,,,
jour.1017031,American Journal of Respiratory and Critical Care Medicine,1088,,,,,,,,
jour.1017616,Gastroenterology,1049,,,,,,,,
jour.1008250,Antimicrobial Agents and Chemotherapy,982,,,,,,,,
jour.1119070,Journal of Alzheimer's Disease,969,,,,,,,,
jour.1005853,Circulation Research,913,,,,,,,,
jour.1019235,The Journal of Infectious Diseases,899,,,,,,,,
jour.1012865,CHEST Journal,868,,,,,,,,
jour.1114184,Emerging Infectious Diseases,858,,,,,,,,
jour.1017429,The FASEB Journal,849,,,,,,,,
jour.1017738,The Journal of Clinical Endocrinology & Metabolism,844,,,,,,,,
jour.1009570,Circulation,841,,,,,,,,
jour.1031710,Clinical Gastroenterology and Hepatology,837,,,,,,,,
jour.1113735,Clinical Cancer Research,830,,,,,,,,
jour.1093917,Hepatology,829,,,,,,,,
