Category,Publications (y),Publications (value)
All OA,3203 Dentistry,4646
All OA,3903 Education Systems,2454
All OA,"4607 Graphics, Augmented Reality and Games",3599
All OA,3702 Climate Change Science,4474
All OA,"47 Language, Communication and Culture",4028
All OA,4010 Engineering Practice and Education,2830
All OA,4207 Sports Science and Exercise,5019
All OA,4101 Climate Change Impacts and Adaptation,4945
All OA,"3002 Agriculture, Land and Farm Management",4113
All OA,4019 Resources Engineering and Extractive Metallurgy,3996
All OA,"3509 Transportation, Logistics and Supply Chains",2922
All OA,4013 Geomatic Engineering,4723
All OA,3009 Veterinary Sciences,5507
All OA,3106 Industrial Biotechnology,5726
All OA,3003 Animal Production,6361
All OA,4903 Numerical and Computational Mathematics,6108
All OA,4014 Manufacturing Engineering,4857
All OA,5103 Classical Physics,6607
All OA,4613 Theory Of Computation,5068
All OA,5110 Synchrotrons and Accelerators,7404
All OA,4001 Aerospace Engineering,4091
All OA,3006 Food Sciences,5573
All OA,3801 Applied Economics,5852
All OA,3205 Medical Biochemistry and Metabolomics,7861
All OA,4105 Pollution and Contamination,6226
All OA,4017 Mechanical Engineering,6085
All OA,3703 Geochemistry,6935
All OA,3901 Curriculum and Pedagogy,4735
All OA,3707 Hydrology,6922
All OA,3407 Theoretical and Computational Chemistry,5843
All OA,4205 Nursing,8078
All OA,4604 Cybersecurity and Privacy,4294
All OA,4102 Ecological Applications,7988
All OA,5205 Social and Personality Psychology,8642
All OA,4201 Allied Health and Rehabilitation Science,9420
All OA,3706 Geophysics,8831
All OA,4602 Artificial Intelligence,6424
All OA,38 Economics,8593
All OA,3104 Evolutionary Biology,9530
All OA,3004 Crop and Pasture Production,9345
All OA,33 Built Environment and Design,7165
All OA,4902 Mathematical Physics,13222
All OA,4603 Computer Vision and Multimedia Computation,8237
All OA,5204 Cognitive and Computational Psychology,11712
All OA,4608 Human-Centred Computing,7039
All OA,4905 Statistics,11561
All OA,3708 Oceanography,11679
All OA,4104 Environmental Management,10002
All OA,5201 Applied and Developmental Psychology,10886
All OA,4012 Fluid Mechanics and Thermal Engineering,10129
All OA,3401 Analytical Chemistry,10306
All OA,4004 Chemical Engineering,9315
