Category,Publications (y),Publications (value)
All OA,"47 Language, Communication and Culture",4028
All OA,38 Economics,8593
All OA,33 Built Environment and Design,7165
All OA,"35 Commerce, Management, Tourism and Services",7828
All OA,39 Education,8760
All OA,44 Human Society,20786
All OA,41 Environmental Sciences,37563
All OA,"30 Agricultural, Veterinary and Food Sciences",41083
All OA,49 Mathematical Sciences,52091
All OA,37 Earth Sciences,66081
All OA,52 Psychology,85523
All OA,46 Information and Computing Sciences,73683
All OA,42 Health Sciences,141911
All OA,34 Chemical Sciences,107558
All OA,51 Physical Sciences,153136
All OA,40 Engineering,178626
All OA,31 Biological Sciences,291085
All OA,32 Biomedical and Clinical Sciences,519061
Closed,"47 Language, Communication and Culture",2490
Closed,38 Economics,4290
Closed,33 Built Environment and Design,6845
Closed,"35 Commerce, Management, Tourism and Services",8400
Closed,39 Education,9551
Closed,44 Human Society,13468
Closed,41 Environmental Sciences,18896
Closed,"30 Agricultural, Veterinary and Food Sciences",20752
Closed,49 Mathematical Sciences,13745
Closed,37 Earth Sciences,26670
Closed,52 Psychology,22907
Closed,46 Information and Computing Sciences,66588
Closed,42 Health Sciences,30569
Closed,34 Chemical Sciences,70705
Closed,51 Physical Sciences,33441
Closed,40 Engineering,133764
Closed,31 Biological Sciences,62063
Closed,32 Biomedical and Clinical Sciences,90581
Green,"47 Language, Communication and Culture",1796
Green,38 Economics,3184
Green,33 Built Environment and Design,1430
Green,"35 Commerce, Management, Tourism and Services",2936
Green,39 Education,2238
Green,44 Human Society,7840
Green,41 Environmental Sciences,6282
Green,"30 Agricultural, Veterinary and Food Sciences",4644
Green,49 Mathematical Sciences,24177
Green,37 Earth Sciences,9828
Green,52 Psychology,38872
Green,46 Information and Computing Sciences,28733
Green,42 Health Sciences,52539
Green,34 Chemical Sciences,47385
Green,51 Physical Sciences,44013
Green,40 Engineering,54592
Green,31 Biological Sciences,55908
Green,32 Biomedical and Clinical Sciences,164122
Gold,"47 Language, Communication and Culture",929
Gold,38 Economics,1634
Gold,33 Built Environment and Design,1702
Gold,"35 Commerce, Management, Tourism and Services",1817
Gold,39 Education,2730
Gold,44 Human Society,5491
Gold,41 Environmental Sciences,15167
Gold,"30 Agricultural, Veterinary and Food Sciences",18527
Gold,49 Mathematical Sciences,7479
Gold,37 Earth Sciences,23624
Gold,52 Psychology,19369
Gold,46 Information and Computing Sciences,15921
Gold,42 Health Sciences,49507
Gold,34 Chemical Sciences,24932
Gold,51 Physical Sciences,33083
Gold,40 Engineering,39020
Gold,31 Biological Sciences,130442
Gold,32 Biomedical and Clinical Sciences,176484
Bronze,"47 Language, Communication and Culture",771
Bronze,38 Economics,2080
Bronze,33 Built Environment and Design,2549
Bronze,"35 Commerce, Management, Tourism and Services",1813
Bronze,39 Education,2556
Bronze,44 Human Society,4292
Bronze,41 Environmental Sciences,8140
Bronze,"30 Agricultural, Veterinary and Food Sciences",8563
Bronze,49 Mathematical Sciences,8841
Bronze,37 Earth Sciences,18192
Bronze,52 Psychology,19234
Bronze,46 Information and Computing Sciences,16084
Bronze,42 Health Sciences,27263
Bronze,34 Chemical Sciences,15692
Bronze,51 Physical Sciences,32572
Bronze,40 Engineering,37389
Bronze,31 Biological Sciences,59029
Bronze,32 Biomedical and Clinical Sciences,116781
Hybrid,"47 Language, Communication and Culture",532
Hybrid,38 Economics,1695
Hybrid,33 Built Environment and Design,1484
Hybrid,"35 Commerce, Management, Tourism and Services",1262
Hybrid,39 Education,1236
Hybrid,44 Human Society,3163
Hybrid,41 Environmental Sciences,7974
Hybrid,"30 Agricultural, Veterinary and Food Sciences",9349
Hybrid,49 Mathematical Sciences,11594
Hybrid,37 Earth Sciences,14437
Hybrid,52 Psychology,8048
Hybrid,46 Information and Computing Sciences,12945
Hybrid,42 Health Sciences,12602
Hybrid,34 Chemical Sciences,19549
Hybrid,51 Physical Sciences,43468
Hybrid,40 Engineering,47625
Hybrid,31 Biological Sciences,45706
Hybrid,32 Biomedical and Clinical Sciences,61674
