"Note: UKRI funders, not preprint, not front matter",,
Year,Mode,Count
2016,Closed,6681
2017,Closed,5693
2018,Closed,5605
2019,Closed,6289
2020,Closed,6321
2021,Closed,6472
2022,Closed,6611
2016,Green,14458
2017,Green,15250
2018,Green,15242
2019,Green,15858
2020,Green,14917
2021,Green,14456
2022,Green,10705
2016,Gold,9124
2017,Gold,10378
2018,Gold,11136
2019,Gold,12686
2020,Gold,14967
2021,Gold,17325
2022,Gold,16513
2016,Bronze,5293
2017,Bronze,5149
2018,Bronze,5376
2019,Bronze,4853
2020,Bronze,4519
2021,Bronze,3414
2022,Bronze,1673
2016,Hybrid,12964
2017,Hybrid,13236
2018,Hybrid,13633
2019,Hybrid,12533
2020,Hybrid,14345
2021,Hybrid,15068
2022,Hybrid,15273
