"Note: USFF, not preprint, not front matter",,
Year,Mode,Count
2016,Closed,71336
2017,Closed,69585
2018,Closed,69495
2019,Closed,68878
2020,Closed,67630
2021,Closed,69862
2022,Closed,88463
2016,Green,66497
2017,Green,63218
2018,Green,61359
2019,Green,64156
2020,Green,71208
2021,Green,69763
2022,Green,46578
2016,Gold,43911
2017,Gold,48395
2018,Gold,52532
2019,Gold,59872
2020,Gold,72688
2021,Gold,81825
2022,Gold,83720
2016,Bronze,45728
2017,Bronze,51224
2018,Bronze,57762
2019,Bronze,52893
2020,Bronze,48454
2021,Bronze,40802
2022,Bronze,19779
2016,Hybrid,36872
2017,Hybrid,35228
2018,Hybrid,34506
2019,Hybrid,33973
2020,Hybrid,34931
2021,Hybrid,33973
2022,Hybrid,33259
