"Note: not preprint, not front matter",,
Year,Mode,Count
2016,Closed,2556598
2017,Closed,2725250
2018,Closed,2753840
2019,Closed,2818096
2020,Closed,2955300
2021,Closed,2920033
2022,Closed,3055343
2016,Green,326108
2017,Green,338907
2018,Green,344243
2019,Green,343862
2020,Green,355698
2021,Green,358374
2022,Green,291076
2016,Gold,825966
2017,Gold,1014274
2018,Gold,1224567
2019,Gold,1505141
2020,Gold,1769017
2021,Gold,1920483
2022,Gold,1908801
2016,Bronze,509489
2017,Bronze,557636
2018,Bronze,587379
2019,Bronze,608389
2020,Bronze,644093
2021,Bronze,633740
2022,Bronze,577579
2016,Hybrid,269552
2017,Hybrid,283890
2018,Hybrid,310346
2019,Hybrid,323617
2020,Hybrid,508871
2021,Hybrid,527063
2022,Hybrid,658185
