"Note: cOAlition S funders, no preprint, no front matter",,
Year,Mode,Count
2016,Closed,60583
2017,Closed,56596
2018,Closed,55391
2019,Closed,52615
2020,Closed,49450
2021,Closed,47612
2022,Closed,47737
2016,Green,43884
2017,Green,47695
2018,Green,49192
2019,Green,50449
2020,Green,49099
2021,Green,47992
2022,Green,37830
2016,Gold,33686
2017,Gold,39100
2018,Gold,45158
2019,Gold,54154
2020,Gold,71596
2021,Gold,86586
2022,Gold,85329
2016,Bronze,16826
2017,Bronze,17482
2018,Bronze,18295
2019,Bronze,15751
2020,Bronze,15353
2021,Bronze,12120
2022,Bronze,6100
2016,Hybrid,26839
2017,Hybrid,28315
2018,Hybrid,31783
2019,Hybrid,36205
2020,Hybrid,45505
2021,Hybrid,51934
2022,Hybrid,54235
